projectNumber,clientNumber,projectDescription,siteAddress,siteLocality,sitePostCode,siteCountry,status,architecture,structure,cost,pm
69,24,Wardija Villa,  ,,,,Active,0.5,0.5,,
70,3,Msida Apartments Structural Appraisal,  ,,,,Active,,1,,
71,162,Gudja Site,  ,,,,Active,0.5,0.5,,
72,25,Zejtun Aparment Block,  ,,,,Active,0.5,0.5,,
73,14,San Lawrenz Road Works,  ,,,,Active,,,0.5,0.5
75,93,Zejtun Residence Alterations,  ,,,,Active,0.5,0.5,,
76,19,Zurrieq Apartment Block,  ,,,,Active,0.5,0.5,,
77,26,Fgura Commercial Extension,  ,,,,Active,0.5,0.5,,
78,19,Tarxien Apartment Block,  ,,,,Active,0.5,0.5,,
79,28,TasSalib Residence Extension,  ,,,,Active,0.5,0.5,,
80,29,Luqa Hangar Alterations,  ,,,,Active,,1,,
81,69,Marsascala Alteration / Extension,  ,,,,Active,0.5,0.5,,
82,94,Kirkop Garage Extension,  ,,,,Active,0.5,0.5,,
83,95,Tarxien Residence Alterations,  ,,,,Active,0.5,0.5,,
84,157,Zabbar Sqaq  Lajri,  ,,,,Active,0.5,0.5,,
85,52,Sliema Apartment Block,  ,,,,Active,,1,,
86,52,Mellieha Apartment Block,  ,,,,Active,,1,,
87,235,Paola Expression of Interest,  ,,,,Active,1,,,
88,30,Zejtun Residence Alterations,  ,,,,Active,0.5,0.5,,
89,31,Sant Antnin Ecological Park,  ,,,,Active,0.5,0.5,,
91,32,Marsascala Apartment Block Extension,  ,,,,Active,0.5,0.5,,
92,68,Paola Triq Maggie Moran,  ,,,,Active,0.5,0.5,,
93,37,Gzira Apartment Block,  ,,,,Active,,1,,
94,96,Mtarfa Apartment Alterations,  ,,,,Active,0.5,0.5,,
95,33,Mriehel Garage Alterations,  ,,,,Active,0.5,0.5,,
96,70,Naxxar House Alterations,  ,,,,Active,0.5,0.5,,
97,34,TalHandaq Industrial Extension,  ,,,,Active,0.5,0.5,,
98,35,US Embassy Ta' Qali,  ,,,,Active,1,,,
99,6,Mriehel Office Block Extension,  ,,,,Active,0.5,0.5,,
100,6,PPB Consultancy,  ,,,,Active,,1,,
101,97,Gudja Minor Alterations,  ,,,,Active,0.5,0.5,,
102,36,Birzebbugia Apartment Block,  ,,,,Active,0.5,0.5,,
103,240,Birzebbugia Site,  ,,,,Active,0.5,0.5,,
104,24,Paola Site,  ,,,,Active,1,,,
105,75,Ghargur Apartment Block,  ,,,,Active,,1,,
106,37,Sliema Apartment Block,  ,,,,Active,,1,,
108,98,Birzebugia Apartment Block Extension,  ,,,,Active,0.5,0.5,,
109,38,Mdina Residence Alterations,  ,,,,Active,0.5,0.5,,
110,39,Mqabba Apartment Block,  ,,,,Active,0.5,0.5,,
112,239,Swieqi Site,  ,,,,Active,0.5,0.5,,
113,241,Zebbug Pool,  ,,,,Active,0.5,0.5,,
114,19,Marsascala Apartment Block,  ,,,,Active,0.5,0.5,,
115,80,Telecommunication Tower,  ,,,,Active,,1,,
116,99,Marsascala Residence Alterations,  ,,,,Active,0.5,0.5,,
118,40,Burmarrad Workshop Alterations,  ,,,,Active,0.5,0.5,,
119,27,Marsascala Residence Extension,  ,,,,Active,0.5,0.5,,
120,24,Xemxija Residential Development,  ,,,,Active,0.5,0.5,,
121,100,Mqabba Site Sanction,  ,,,,Active,1,,,
122,101,Xghajra Site Sanction,  ,,,,Active,1,,,
123,102,Zabbar Outline Application,  ,,,,Active,1,,,
125,52,Swieqi Garage Alterations,  ,,,,Active,,1,,
126,52,Naxxar Apartment Block,  ,,,,Active,,1,,
128,103,Bugibba Apartment Block Structural Appraisal,  ,,,,Active,,1,,
129,24,Kalkara Fort San Salvator Project,  ,,,,Active,1,,,
130,41,Pender Place Project Management,  ,,,,Active,,,,1
131,42,Marsascala Apartment Block,  ,,,,Active,0.5,0.5,,
132,2,Marsascala Apartment Block,  ,,,,Active,0.5,0.5,,
133,104,Mellieha Villa,  ,,,,Active,1,,,
134,43,Tal Masrija Apartment Block,  ,,,,Active,1,,,
135,131,Luqa House of Character,  ,,,,Active,0.5,0.5,,
136,44,Mellieha Apartment Block,  ,,,,Active,0.5,0.5,,
137,27,Santa Lucia Apartment Block,  ,,,,Active,0.5,0.5,,
138,45,Cospicua Residence Alterations,  ,,,,Active,0.5,0.5,,
139,46,Zabbar Apartment Block,  ,,,,Active,0.5,0.5,,
140,23,Marsaxlokk Agricultural Stores Extension,  ,,,,Active,0.5,0.5,,
141,19,Gudja Apartment Block,  ,,,,Active,0.5,0.5,,
142,2,Kirkop House of Character,  ,,,,Active,0.5,0.5,,
143,105,Iklin Maisonette Extension,  ,,,,Active,,,,
144,235,Ghajnsielem Road Works,  ,,,,Active,,,,
145,26,Air Malta Warehouse Alterations,  ,,,,Active,,,,
146,52,Dingli Apartments,  ,,,,Active,,,,
147,242,Xghajra Apartment Block,  ,,,,Active,,,,
148,71,Room Extension,  ,,,,Active,,,,
149,6,St. Julian's Villas,  ,,,,Active,,,,
